genres,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness
post-grunge,0.4851,0.6939500000000001,0.059054999999999996,0.21988467500000003,0.16681459,0.234375,0.38385499999999995,0.6305,5.15,0.5,1,1,0,1.0,7,5
permanent wave,0.5420603921568627,0.6499718835412954,0.0543676019013666,0.18781540120617943,0.06382985934545454,0.17664872370766493,0.5967220118835411,0.6275250148544267,4.211717171717171,0.5228758169934641,2,1,0,1.0,7,5
piano rock,0.5282263157894737,0.6727017543859649,0.052760877192982454,0.3925749122807018,0.006164539982456141,0.20274368421052635,0.6969733333333333,0.6275087719298246,4.126315789473684,0.5087719298245613,0,1,0,1.0,7,5
metal,0.4294,0.6660249999999999,0.06153000000000002,0.093433078,0.095576626,0.12710499999999997,0.4052,0.623,5.9,0.5,7,1,0,0.0,7,5
alternative rock,0.5015857142857143,0.6641761904761906,0.07605333333333332,0.21091112619047617,0.1362656754285714,0.19220428571428574,0.476224761904762,0.6223809523809524,4.438095238095237,0.5238095238095238,7,1,0,1.0,7,5
northern soul,0.6239523809523811,0.5844761904761905,0.04291904761904762,0.2410761904761904,0.08080658380952381,0.13165714285714286,0.6944761904761905,0.6209523809523809,3.6190476190476186,0.5714285714285714,3,1,0,1.0,6,5
pop rock,0.56888,0.5451555555555556,0.03475333333333333,0.37630700888888885,0.014668844422222221,0.18386422222222226,0.6261999999999999,0.6208888888888889,4.264444444444444,0.5222222222222221,9,1,0,1.0,7,5
singer-songwriter,0.5551085972850678,0.46666992140985947,0.03859189568944987,0.4081951972136224,0.013332699089068827,0.1716275589426054,0.5601837104072398,0.6194108120981187,4.130364372469635,0.5332221957608954,7,1,0,1.0,7,5
classic rock,0.5359486812793521,0.5880619798257777,0.05362603321881649,0.324239125936755,0.07159455806872926,0.17961570806695887,0.6180485269531525,0.6189319932828705,4.1338417642442415,0.5168192267160276,9,1,0,1.0,6,5
mellow gold,0.5608030863222482,0.5321970439052813,0.04335041470974355,0.3728139971139333,0.0394828792693042,0.1800946136875803,0.5974698400412796,0.6167465933741917,4.1262411982336795,0.515641344257001,7,1,0,1.0,5,5
lilith,0.5231999999999999,0.2851,0.03483,0.8253,0.000163731,0.16867000000000004,0.5287,0.616,4.2,0.5,6,1,0,1.0,4,5
canadian folk,0.5231999999999999,0.2851,0.03483,0.8253,0.000163731,0.16867000000000004,0.5287,0.616,4.2,0.5,6,1,0,1.0,4,5
pop,0.71635,0.7164694444444445,0.05264222222222222,0.22118083333333333,0.023403394388888887,0.1721752777777778,0.6732722222222223,0.6116666666666667,4.691666666666666,0.5416666666666667,9,1,0,1.0,6,5
europop,0.6477000000000002,0.6871,0.04326,0.199265,0.011744305,0.16905,0.6121000000000001,0.61,4.5,0.5,8,1,0,1.0,5,5
sunshine pop,0.54135,0.5156499999999999,0.03425500000000001,0.505595,0.0004646415000000001,0.154545,0.7031499999999999,0.6099999999999999,2.45,0.5,7,1,0,1.0,6,5
roots rock,0.5518404213859457,0.5258710516700958,0.041608554698767376,0.3793446277349383,0.05533395249438813,0.1760612230704639,0.602661834253152,0.6086976071893287,3.9362427808652063,0.5130665538526624,7,1,0,1.0,6,5
jam band,0.55005,0.5605,0.03602,0.376575,0.122464872,0.23755500000000004,0.73245,0.608,5.1,0.5,11,1,0,1.0,6,5
progressive rock,0.4733833333333334,0.5073333333333334,0.0629161111111111,0.2859788888888889,0.24014125555555557,0.24204500000000007,0.5114294444444446,0.6042222222222222,5.611111111111111,0.5277777777777778,11,1,0,0.6,6,5
