,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness,track_count
Charlie Puth,0.502,0.413,0.039,0.872,0.0,0.213,0.474,0.61,4.0,1.0,4,1,0,1.0,9,5,1
Tina Turner,0.6477,0.6870999999999998,0.04326000000000001,0.19926499999999997,0.011744305,0.16905,0.6121000000000001,0.61,4.5,0.5,8,1,0,1.0,5,5,20
Fred Wesley,0.8,0.802,0.166,0.23,0.00379,0.0971,0.82,0.61,9.0,1.0,0,1,0,1.0,5,5,1
2Pac,0.7656470588235296,0.7078235294117647,0.17724117647058818,0.11706941176470588,0.0005910888235294117,0.20375882352941177,0.6166470588235294,0.6064705882352941,4.411764705882353,0.6470588235294118,8,1,1,0.8,5,5,17
Sam Cooke,0.5135000000000001,0.5214,0.03984,0.6708000000000001,0.0,0.2639699999999999,0.7092999999999999,0.603,2.9,0.5,9,1,0,1.0,6,5,20
Al Green,0.7383000000000001,0.41180000000000005,0.07959999999999998,0.32334,0.07621112,0.10569999999999999,0.6816999999999999,0.603,3.9,0.5,7,1,0,1.0,5,5,20
B.B. King,0.462,0.7959999999999999,0.0322,0.384,0.0,0.29600000000000004,0.8240000000000001,0.6,4.0,0.5,9,1,0,1.0,10,5,2
Devin The Dude,0.8759999999999999,0.573,0.431,0.294,0.0,0.121,0.7559999999999999,0.6,3.0,1.0,0,1,1,1.0,5,6,1
N.W.A.,0.8423,0.7263000000000001,0.25789999999999996,0.032796999999999986,3.2039999999999997e-06,0.175,0.7363999999999999,0.6,4.6,0.5,8,1,1,1.0,5,5,20
Grateful Dead,0.6609999999999999,0.5132,0.03853,0.37035000000000007,0.030309864000000002,0.20319000000000004,0.7939,0.599,4.7,0.5,11,1,0,1.0,6,5,20
Roy Orbison,0.4937999999999999,0.4967999999999999,0.02917000000000001,0.5785600000000001,0.027848637000000002,0.17434,0.6105,0.5940000000000001,3.3,0.5,2,1,0,1.0,5,5,20
The Band,0.601,0.5958888888888889,0.03913333333333333,0.32852222222222227,0.0008050105555555554,0.19575555555555557,0.6895,0.5922222222222222,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5,18
Etta James,0.42069999999999996,0.3869,0.04407,0.6742999999999999,0.0014454390000000002,0.33984999999999993,0.45599999999999996,0.5900000000000001,3.6,0.5,2,0,0,1.0,4,5,20
Big Brother & The Holding Company,0.432,0.413,0.06420000000000001,0.34965,0.0043875,0.2085,0.4545,0.59,5.0,1.0,4,1,0,1.0,5,5,4
George Michael,0.7170000000000001,0.8370000000000001,0.0456,0.264,0.0,0.235,0.68,0.59,4.0,1.0,4,1,0,1.0,5,5,1
Chad Kroeger,0.595,0.8440000000000001,0.0331,0.0137,0.0,0.23399999999999999,0.603,0.59,4.0,0.5,7,1,0,1.0,6,6,2
The Product G&B,0.777,0.601,0.126,0.0406,0.00201,0.0348,0.68,0.59,4.0,0.5,2,1,0,1.0,5,5,2
Black Sabbath,0.3585,0.5451499999999999,0.05165000000000001,0.17573652,0.11781075000000003,0.11943999999999999,0.4124,0.5880000000000001,5.5,0.5,9,1,0,0.0,7,5,20
Janis Joplin,0.4795999999999999,0.41079999999999994,0.10128,0.4305600000000001,0.03361516,0.19063000000000002,0.525,0.5879999999999999,4.3,0.5,4,1,0,1.0,4,5,20
Chuck Berry,0.6302000000000001,0.7685000000000002,0.09028,0.6996999999999998,0.00018536300000000002,0.15588000000000002,0.9156000000000001,0.584,2.8,0.5,7,1,0,1.0,8,5,20
Miles Davis,0.4965789473684212,0.1956842105263158,0.03862631578947368,0.7395526315789475,0.11373431578947366,0.1435684210526316,0.3307894736842105,0.5721052631578948,7.2631578947368425,0.5263157894736842,2,0,0,1.0,6,5,19
Todd Rundgren,0.723,0.672,0.0356,0.243,0.00373,0.299,0.958,0.57,4.0,0.5,7,1,0,1.0,6,5,2
Ray Charles,0.5064736842105264,0.44263157894736843,0.08537368421052631,0.7599473684210526,9.313473684210527e-05,0.1864157894736842,0.5588947368421053,0.5699999999999998,3.8947368421052633,0.5263157894736842,5,1,0,1.0,4,5,19
