genres,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,label
art rock,0.29821931394140866,0.4936992945934342,0.5695875064345874,0.19858048507157408,0.19785240037739904,0.05480224945077535,0.5071665226747116,3
asbury park indie,0.0009689999999999999,0.557,0.815,0.0018800000000000002,0.0932,0.0328,0.445,9
asmr,0.5753011111111109,0.1978888888888889,0.28906666666666664,0.8687777777777779,0.21811111111111112,0.07594444444444444,0.035277777777777776,0
athens indie,0.19036757688888886,0.51228875,0.6042931111111111,0.2659190642777778,0.17874486111111113,0.038944555555555566,0.5380136111111111,3
atl hip hop,0.12886437418141694,0.7335897889440709,0.6525384535098941,0.012474604530686963,0.1973913733438497,0.1860834466231684,0.5232558341280812,2
atl trap,0.14326940277882613,0.7212818543518432,0.6725281010151927,0.003063620233834811,0.20145092447635088,0.1945052810849701,0.5095339088348775,2
atlanta indie,0.153698,0.5671999999999999,0.7083599999999999,0.09881074,0.25724,0.05165,0.6187799999999999,2
atmosphere,0.8162357843137255,0.2601125,0.13536178921568628,0.8163629411764708,0.13145110294117648,0.0492484068627451,0.12051299019607845,6
atmospheric black metal,0.001325495,0.2638333333333333,0.7681666666666667,0.7681833333333333,0.3260333333333333,0.05736666666666668,0.24101666666666666,0
atmospheric post-metal,2.71e-05,0.29,0.7170000000000001,0.816,0.706,0.0556,0.23600000000000002,0
atmospheric post-rock,0.25221,0.6679999999999999,0.7735000000000001,0.478055,0.14400000000000002,0.055999999999999994,0.483,0
atmospheric sludge,2.71e-05,0.29,0.7170000000000001,0.816,0.706,0.0556,0.23600000000000002,0
auckland indie,0.04608969166666666,0.5401944444444444,0.7034722222222222,0.023251583333333336,0.3068222222222223,0.053538888888888886,0.32998055555555555,9
audiophile vocal,0.6398333333333333,0.5125,0.2645666666666667,0.00014681,0.1298,0.0334,0.5134333333333333,4
aussietronica,0.11574696969696972,0.6589999999999999,0.6969848484848484,0.09833517575757576,0.1329909090909091,0.06695757575757576,0.3441666666666667,2
austin americana,0.4464678571428571,0.5656904761904762,0.5860119047619047,0.009811640476190476,0.2438642857142857,0.0774047619047619,0.4847857142857143,3
austin hip hop,0.0153,0.902,0.47200000000000003,0.0,0.0539,0.469,0.65,2
austin singer-songwriter,0.591,0.5071,0.5644799999999999,0.054101378200000015,0.4506120000000001,0.09406,0.5283800000000001,8
austindie,0.35071631601731607,0.6306839826839826,0.6144329004329004,0.06203877941558441,0.16508441558441558,0.06232770562770563,0.6084978354978353,3
australian alternative pop,0.534625,0.5795999999999999,0.34675,0.001126085,0.17492999999999995,0.047735000000000014,0.23205,8
australian alternative rock,0.1426448269005848,0.5534991228070175,0.7171423976608188,0.027805386488304096,0.1937766959064328,0.05762438596491229,0.5811953216374268,2
australian children's music,0.5480391666666666,0.763125,0.4181041666666667,6.9958333333333326e-06,0.19132916666666666,0.11303333333333335,0.7923958333333334,4
australian choir,0.993,0.29100000000000004,0.0218,3.5000000000000016e-06,0.0766,0.0528,0.29100000000000004,5
australian country,0.3978385249042145,0.6100756704980842,0.5038026819923371,1.9682978927203068e-05,0.1396764367816092,0.07343553639846744,0.5591369731800767,3
australian dance,0.09610298667454767,0.6196565115440117,0.7489145929070931,0.1061873695207404,0.2065056683871684,0.07465766053391053,0.4625888104950603,2
australian electropop,0.12361113924501425,0.6054523148148149,0.6887418091168089,0.14255393627706553,0.17029946937321938,0.05322657407407408,0.40888474002848996,2
australian garage punk,0.20737145833333334,0.4183333333333333,0.7792916666666668,0.3566950583333333,0.17043333333333333,0.062191666666666666,0.4213333333333333,9
australian hip hop,0.17764327163461535,0.6444363324175826,0.7168482142857143,0.12908176549793954,0.18064073145604392,0.08848599587912087,0.5825007211538461,2
australian house,0.08313799999999999,0.643,0.8192999999999999,0.32706479999999993,0.19541000000000006,0.04495,0.5428999999999999,2
australian indie,0.19785457135416668,0.6034121093750001,0.6890716145833334,0.08586668779947917,0.16945397135416668,0.07741406249999998,0.4827080078125,3
