,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence
29,0.944,['Félix Mayol'],0.656,171200,0.292,0,0YHjhp3fj1IgLFtDsw8v3M,0.0,1,0.234,-13.597,1,Bou Dou Ba Da Bouh,0,1920,0.126,127.325,0.723
30,0.0323,['Meetya'],0.697,489012,0.617,0,0Yt4hib6XmdB0YOkVl3QoL,0.902,11,0.149,-9.51,0,Day After - Original Mix,0,1920-01-01,0.0609,133.982,0.321
31,0.996,['Maurice Chevalier'],0.613,178133,0.274,0,0Z6sMDs4BqsNshmprUBWGT,0.428,8,0.172,-14.884,1,Oh Maurice,0,1920,0.225,64.75,0.769
32,0.0397,['David Daniells'],0.369,162000,0.321,0,0aeTGPtEdNsqGDn3cqcS7l,0.0,11,0.309,-12.427,1,Jesus Paid It All,0,1920-04-01,0.0278,68.287,0.303
33,0.021,"[""The Swingin' Bachelors""]",0.559,288293,0.83,0,0bq1lNI8OPhdRQYZZSSnQk,0.146,11,0.187,-7.876,0,Voodoo Doll,0,1920-02-29,0.0546,107.912,0.352
34,0.00397,['Ron van der Kraan'],0.641,257667,0.292,0,0cU0Kxxk3w3HNDhv8m0cLf,0.000121,8,0.356,-22.969,1,Dancehall Good To Me,2,1920-01-03,0.0571,179.967,0.752
35,0.79,"[""The Swingin' Bachelors""]",0.745,261013,0.791,0,0e0zhCKclqwgJgA7Tjg2ca,0.0,7,0.102,-8.584,1,Penticton Kitty,0,1920-02-29,0.0595,120.169,0.658
36,0.00744,['Ron van der Kraan'],0.737,225707,0.328,0,0gIniSwikXODTBupqYPCI1,1.64e-06,0,0.0765,-18.8,1,Sweat (A La La La La Long),0,1920-01-03,0.0526,172.025,0.798
37,0.00174,['Meetya'],0.602,496170,0.592,0,0gmSdjhXEjlLVJh32Ii6Az,0.898,1,0.108,-10.421,1,Headbanger - Original Mix,0,1920-01-01,0.0439,133.992,0.396
38,0.995,"['Mamie Smith', 'The Harlem Trio']",0.482,198000,0.229,0,0lqEx4vktZP1y9hnwfF27Y,6.05e-05,7,0.549,-12.619,1,Kansas City Man Blues - 78rpm Version,1,1920,0.0812,77.232,0.461
39,0.994,['David Zaynû'],0.556,162187,0.425,0,0mTHwZX4HpL7L38liSBkqj,0.256,10,0.254,-11.834,0,Qasîda tlimsâniyya,0,1920-01-01,0.0938,131.454,0.732
40,0.986,['Esther Lekain'],0.641,179160,0.169,0,0ojvOshbJWnvrcPRgLVtg2,0.0,7,0.0706,-13.139,1,Ca N'vaut Pas L'amour,0,1920,0.13,116.249,0.687
41,0.995,['Mamie Smith & Her Jazz Hounds'],0.534,176360,0.191,0,0sj3QeaCpacCfxL4c5TQBl,0.0982,7,0.805,-12.889,0,Mean Man,0,1920,0.0508,70.059,0.605
42,0.000103,['Two Charming Men'],0.779,375015,0.724,0,0vhLeFi24U1oYB0odNNVV3,0.887,11,0.123,-7.373,0,Brusque - Original Mix,0,1920-01-01,0.0482,128.004,0.226
43,0.147,"[""The Swingin' Bachelors""]",0.603,235547,0.719,0,0xKe1lGyWBuk3lx3JIUUUx,0.0,0,0.111,-5.464,0,Cloud 9,0,1920-02-29,0.0271,92.01,0.697
44,0.367,"[""The Swingin' Bachelors""]",0.716,264240,0.836,0,11rj3RWlVnnxW0EL7jwN8R,5.81e-06,9,0.191,-6.099,1,Big Jim and the Twins,0,1920-02-29,0.0451,105.986,0.635
45,0.689,"['ST', '98', 'Niklas O']",0.69,144588,0.324,1,12EoJ4NTFAwRDsV0TeiSqD,0.0,9,0.282,-13.748,1,YP,0,1920,0.0726,130.024,0.265
46,0.983,['Aryiró Yiannopoúlou'],0.553,203640,0.375,0,13Cp2OYw0AXbb39kj4vony,0.223,0,0.408,-9.089,0,"Neráida, tsámiko",0,1920-01-01,0.0336,110.115,0.592
47,0.964,['Marika Papagkika'],0.23,231387,0.396,0,13GPrQSJCYQ0UubGg9IwZ0,0.0742,5,0.274,-8.578,1,Ntourou Ntourou,0,1920-01-01,0.0363,69.893,0.704
48,0.963,['Aryiró Yiannopoúlou'],0.498,188133,0.336,0,16p8aoTTQ08SkJtx1VATFD,0.143,6,0.199,-11.599,0,"Vrísi mou malamaténia, kalamatianó",0,1920-01-01,0.04,59.544,0.905
49,0.994,['Maurice Chevalier'],0.487,191173,0.298,0,17hxoQSZt46mkZGHtVt9yV,0.0,6,0.133,-17.141,1,L'oeil Assassin,0,1920,0.098,99.989,0.738
50,0.435,['No.Losiento'],0.68,88696,0.939,0,1Bn6okAC9ntFOhKnsJPZkG,0.879,6,0.0924,-5.458,1,Playground Sparks,0,1920-01-01,0.0649,183.958,0.924
51,0.992,['Abd al-Rahmân Zuwaytin'],0.341,189493,0.286,0,1C3aXDpLNiArwnLhyPBLYA,0.577,1,0.256,-12.141,1,Baytân et taghtiya Istihlâl,0,1920-01-01,0.0936,77.824,0.292
52,0.996,['Mamie Smith & Her Jazz Hounds'],0.575,177173,0.247,0,1DfwOz5apF0w2d8hccSkhH,0.0684,9,0.362,-13.284,0,Frankie Blues,0,1920,0.04,130.804,0.841
53,0.938,['Mistinguett'],0.368,230360,0.275,0,1GrSchVEDloSplofxpQX6h,0.0,8,0.588,-17.535,1,Toute Petite,0,1920,0.052,86.58,0.611
