genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,time_signature
21st century classical,0.7959583333333333,0.3077261904761905,428958.3095238096,0.21950654761904764,0.6252806629761904,0.18389047619047622,-21.1135,0.06040595238095237,99.89161904761906,0.1735607142857143,12.238095238095239,7,1,4
432hz,0.7725,0.5805,202679.5,0.426,0.765,0.1265,-11.461,0.04465,125.896,0.536,0.0,0,1,4
8-bit,0.00137,0.41200000000000003,249500.0,0.6890000000000001,0.898,0.11199999999999999,-7.2879999999999985,0.0535,200.296,0.038,5.0,9,1,3
[],0.27726430497602056,0.6323917381438019,204436.04319997536,0.6053338358058159,0.19114311010754995,0.18100446679616533,-8.768259298714547,0.12001160275864567,121.34871290653466,0.4500798228038511,14.72046879098704,7,1,4
a cappella,0.47798304829244836,0.4512966530383197,228852.06309924644,0.4782561327561328,0.04495499864329808,0.18889235289401962,-8.09959603575437,0.07665854176687512,113.36784198332533,0.38167727232643905,22.580126663459993,10,1,4
aarhus indie,0.44489999999999996,0.583,264730.25,0.5974999999999999,0.18179500000000004,0.170675,-10.28575,0.043875,130.79975,0.2599,5.0,1,1,3
aberdeen indie,0.04539066666666667,0.4281666666666666,198803.66666666663,0.8093333333333333,1.7946666666666665e-05,0.2668333333333333,-4.701833333333334,0.046500000000000014,127.76,0.4494500000000001,28.66666666666667,4,1,4
abstract,0.7757619565217391,0.2766826086956522,183599.39130434784,0.22752065217391307,0.8585130434782609,0.1795913043478261,-31.606869565217394,0.18372391304347827,96.36417391304349,0.15982391304347826,14.217391304347826,9,1,4
abstract beats,0.31745177151351067,0.65464994425864,181541.21102086318,0.5321872511546425,0.4646048628568774,0.16847178027286722,-8.378240377979509,0.15832771407336624,124.11258507193291,0.45325566172957477,18.10576259489303,10,1,4
abstract hip hop,0.1823338864094729,0.6057477209065444,207731.3550971904,0.6899563364739835,0.056945339718338844,0.23874822171292762,-7.877107111026229,0.19151837174263647,111.48504412189116,0.47248800717256606,24.170885323826496,11,1,4
abstract idm,0.387072450952381,0.6442857142857142,212791.90476190476,0.5755714285714285,0.3003333333333333,0.21206190476190478,-9.030904761904763,0.1013952380952381,149.84333333333333,0.6275857142857143,16.0,10,1,3
abstractro,0.28006923333333333,0.31848571428571426,340872.00952380954,0.6466285714285714,0.7487816761904762,0.11454571428571429,-10.166809523809526,0.046911428571428576,139.30254285714284,0.2297161904761905,9.79047619047619,1,1,4
accordion,0.858,0.17,336460.0,0.062,0.0207,0.37799999999999995,-21.965999999999998,0.0418,106.186,0.0462,31.0,2,0,3
