artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness,track_count,genres
U2,0.4990000000000001,0.7278000000000001,0.04094,0.112065,0.036612380000000014,0.21904,0.4727,0.6779999999999999,4.5,0.5,2,1,0,1.0,7,5,20,"['irish rock', 'permanent wave', 'rock']"
The Police,0.6481,0.6075,0.11362,0.159022,0.015683095,0.11550999999999999,0.6647000000000002,0.6779999999999999,4.2,0.5,2,1,0,1.0,7,5,20,"['album rock', 'art rock', 'classic rock', 'dance rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']"
Van Morrison,0.5437999999999998,0.4243,0.04179999999999999,0.4337,0.00180361,0.15459,0.5534999999999999,0.677,4.1,0.5,7,1,0,1.0,4,5,20,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'soul']"
R.E.M.,0.5232000000000001,0.6517999999999999,0.030440000000000005,0.28596949999999993,0.008655204,0.15799000000000002,0.5828,0.675,4.1,0.5,7,1,0,1.0,6,5,20,"['alternative rock', 'permanent wave', 'pop rock', 'rock']"
The Beach Boys,0.507,0.6203000000000001,0.03441,0.34579000000000004,0.0005437760000000002,0.13135,0.7391,0.6719999999999999,2.9,0.5,6,1,0,1.0,6,5,20,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
Jimi Hendrix,0.4276000000000001,0.742,0.12240000000000002,0.243844,0.12743292899999994,0.18588,0.4829999999999999,0.6619999999999999,3.3,0.5,8,1,0,1.0,5,5,20,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
Metallica,0.5003,0.7868999999999998,0.07141000000000003,0.011129636000000002,0.07334250199999999,0.13476999999999995,0.39799999999999996,0.6579999999999999,6.3,0.5,7,1,0,0.0,7,5,20,"['hard rock', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
Neil Young,0.5971764705882352,0.3923529411764706,0.03313529411764705,0.3693983529411764,0.01638098823529412,0.22097058823529409,0.508235294117647,0.65,4.705882352941177,0.5882352941176471,4,0,0,1.0,7,5,17,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']"
The Who,0.5124000000000001,0.7261,0.047340000000000014,0.17915,0.101948921,0.11628000000000002,0.4802999999999999,0.6499999999999998,4.5,0.5,2,1,0,1.0,7,5,20,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'protopunk', 'rock', 'roots rock']"
Aretha Franklin,0.6329999999999999,0.526,0.045050000000000014,0.36139,3.9025e-05,0.14389999999999994,0.6723,0.6489999999999999,3.3,0.5,0,1,0,1.0,6,5,20,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
John Lennon,0.5689444444444445,0.4467777777777778,0.03852777777777778,0.5643888888888889,0.06448035,0.1917,0.4311111111111111,0.6461111111111112,3.611111111111111,0.5555555555555556,0,1,0,1.0,4,5,18,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock']"
Lynyrd Skynyrd,0.4219,0.609,0.04906,0.14479399999999998,0.010960167000000002,0.15573,0.5876,0.6459999999999999,6.0,0.5,9,1,0,1.0,6,5,20,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']"
The Clash,0.6933,0.7354,0.06170999999999999,0.08529999999999999,0.01476983,0.16748000000000002,0.8004999999999999,0.639,4.0,0.5,2,1,0,1.0,6,5,20,"['classic rock', 'dance rock', 'permanent wave', 'punk', 'rock']"
The Velvet Underground,0.4894,0.5103333333333333,0.03473333333333333,0.2970193333333333,0.15376775199999998,0.23718000000000003,0.5825333333333335,0.6386666666666667,4.866666666666666,0.6666666666666666,5,1,0,1.0,7,5,15,"['alternative rock', 'art rock', 'classic rock', 'folk rock', 'melancholia', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock']"
Prince,0.6772,0.6662000000000001,0.06187,0.0794,0.00898412,0.263,0.6232,0.638,5.1,0.5,11,1,0,1.0,6,5,20,"['bachata', 'latin', 'latin hip hop', 'latin pop', 'reggaeton', 'tropical']"
Eric Clapton,0.5995238095238095,0.498142857142857,0.03884285714285714,0.40255714285714295,0.0713601904761905,0.2844095238095238,0.5773333333333333,0.6361904761904761,4.380952380952381,0.5714285714285714,9,1,0,1.0,5,5,21,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'roots rock', 'soft rock']"
Santana,0.6342666666666668,0.5853333333333334,0.055720000000000006,0.3012733333333333,0.17899784866666665,0.12157333333333332,0.6486666666666667,0.6346666666666666,4.0,0.6666666666666666,2,1,0,1.0,6,5,15,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']"
The Kinks,0.5549000000000001,0.7336999999999999,0.05301,0.34619999999999995,0.025689807,0.13184,0.7167,0.6329999999999999,3.1,0.5,7,1,0,1.0,6,5,20,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']"
Otis Redding,0.6223636363636365,0.3912727272727273,0.0677181818181818,0.5008181818181817,0.00028878545454545456,0.16051818181818178,0.5743636363636363,0.63,2.8181818181818183,0.5,10,1,0,1.0,5,5,22,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']"
Beastie Boys,0.7125,0.7974000000000002,0.26493,0.15196999999999994,0.003448272,0.16155999999999998,0.6289,0.629,3.3,0.5,6,1,0,1.0,5,5,20,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']"
Tom Petty,0.596,0.5971,0.03023,0.1132211,0.062915266,0.20115,0.6405,0.629,3.8,0.5,2,1,0,1.0,6,5,20,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
James Taylor,0.6136,0.3515,0.03763,0.4818000000000001,0.005421118000000001,0.11121,0.5467000000000001,0.626,3.5,0.5,4,1,0,1.0,4,5,20,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
The Temptations,0.6299,0.5589,0.053020000000000005,0.45492,0.006286900000000001,0.22219000000000005,0.7321000000000002,0.624,3.6,0.5,0,1,0,1.0,6,5,20,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']"
Marvin Gaye,0.6239523809523811,0.5844761904761905,0.04291904761904762,0.2410761904761904,0.08080658380952381,0.13165714285714286,0.6944761904761905,0.6209523809523809,3.6190476190476186,0.5714285714285714,3,1,0,1.0,6,5,21,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']"
Talking Heads,0.7150000000000001,0.7289999999999999,0.04853,0.142924,0.07775736999999999,0.19567,0.8442000000000001,0.6190000000000001,4.3,0.5,2,1,0,1.0,6,5,20,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']"
The Allman Brothers Band,0.4391000000000001,0.6077999999999999,0.033510000000000005,0.3828,0.21461988,0.27192000000000005,0.6709999999999999,0.616,5.5,0.5,4,1,0,1.0,5,5,20,"['album rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock']"
Joni Mitchell,0.5231999999999999,0.2851,0.03483,0.8253,0.000163731,0.16867000000000004,0.5287,0.616,4.2,0.5,6,1,0,1.0,4,5,20,"['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'traditional folk']"
Tina Turner,0.6477000000000002,0.6871,0.04326,0.199265,0.011744305,0.16905,0.6121000000000001,0.61,4.5,0.5,8,1,0,1.0,5,5,20,"['disco', 'europop', 'mellow gold', 'new wave pop', 'soft rock']"
Sam Cooke,0.5135000000000001,0.5214000000000001,0.03984,0.6708000000000001,0.0,0.2639699999999999,0.7092999999999999,0.604,2.9,0.5,9,1,0,1.0,6,5,20,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']"
Al Green,0.7383,0.4118,0.07959999999999998,0.32334,0.07621112,0.10570000000000003,0.6816999999999999,0.603,3.9,0.5,7,1,0,1.0,5,5,20,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
N.W.A.,0.8422999999999998,0.7263000000000001,0.2579,0.03279699999999998,3.2039999999999993e-06,0.175,0.7363999999999999,0.601,4.6,0.5,8,1,1,1.0,5,5,20,"['conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']"
Grateful Dead,0.6609999999999999,0.5132,0.03853,0.37035,0.030309864,0.20319000000000004,0.7939,0.6,4.7,0.5,11,1,0,1.0,6,5,20,"['classic rock', 'cosmic american', 'country rock', 'folk rock', 'jam band', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']"
Roy Orbison,0.4937999999999999,0.4967999999999999,0.029170000000000012,0.5785600000000001,0.027848637,0.17434000000000002,0.6105,0.5949999999999999,3.3,0.5,2,1,0,1.0,5,5,20,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']"
The Band,0.601,0.5958888888888889,0.03913333333333333,0.3285222222222222,0.0008050105555555553,0.1957555555555556,0.6895,0.5922222222222223,4.611111111111111,0.5555555555555556,9,1,0,1.0,7,5,18,"['electropop', 'hopebeat', 'indie pop', 'indie poptimism', 'indiecoustica', 'indietronica', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop rock']"
Etta James,0.4207,0.3869,0.04407,0.6742999999999999,0.0014454390000000002,0.33985,0.456,0.591,3.6,0.5,2,0,0,1.0,4,5,20,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
Black Sabbath,0.3585,0.5451499999999999,0.051650000000000015,0.17573652,0.11781075,0.11944,0.4124,0.5880000000000001,5.5,0.5,9,1,0,0.0,7,5,20,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']"
Janis Joplin,0.4795999999999999,0.4108000000000001,0.10128,0.43056000000000005,0.033615160000000005,0.19063,0.525,0.5879999999999999,4.3,0.5,4,1,0,1.0,4,5,20,"['blues rock', 'classic rock', 'psychedelic rock', 'rock']"
Johnny Cash,0.6176999999999999,0.4859,0.08109,0.5199699999999999,0.06834203999999999,0.3625300000000001,0.6476000000000001,0.5875,3.4,0.6,0,1,0,1.0,6,5,20,"['arkansas country', 'outlaw country']"
Chuck Berry,0.6302000000000001,0.7685000000000002,0.09028,0.6996999999999998,0.000185363,0.15588000000000002,0.9156,0.5849999999999999,2.8,0.5,7,1,0,1.0,8,5,20,"['blues rock', 'classic rock', 'folk rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']"
Miles Davis,0.496578947368421,0.1956842105263158,0.03862631578947368,0.7395526315789475,0.11373431578947367,0.14356842105263154,0.3307894736842106,0.5721052631578948,7.263157894736842,0.5263157894736842,2,0,0,1.0,6,5,19,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']"
Ray Charles,0.5064736842105264,0.4426315789473684,0.0853736842105263,0.7599473684210525,9.313473684210528e-05,0.18641578947368426,0.5588947368421053,0.5705263157894734,3.8947368421052633,0.5263157894736842,5,1,0,1.0,4,5,19,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']"
Ramones,0.4828,0.8683,0.08161000000000003,0.045753899999999986,0.11131369100000003,0.11756000000000005,0.8154,0.5660000000000001,2.9,0.5,9,1,0,1.0,9,6,20,"['classic rock', 'early us punk', 'permanent wave', 'punk', 'rock', 'skate punk']"
Nine Inch Nails,0.4877999999999999,0.6445000000000001,0.05421,0.2748416000000001,0.3300658,0.23774,0.26250999999999997,0.5609999999999999,6.2,0.5,0,1,0,1.0,7,5,20,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
Roxy Music,0.6001000000000001,0.6649,0.049400000000000006,0.25054499999999996,0.11731724,0.14641000000000004,0.6338,0.5589999999999999,4.6,0.5,0,1,0,1.0,7,5,20,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'protopunk', 'rock', 'soft rock']"
Madonna,0.7225,0.7724444444444445,0.053977777777777784,0.17349555555555554,0.01911839,0.16297777777777778,0.6674444444444443,0.5572222222222223,4.777777777777779,0.5555555555555556,9,1,0,0.0,6,5,18,"['dance pop', 'pop']"
Cream,0.5008,0.5468000000000001,0.03778,0.29318,0.045529159999999985,0.28894999999999993,0.588,0.5549999999999999,4.1,0.5,0,1,0,1.0,5,5,20,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']"
Diana Ross,0.6338333333333331,0.6489999999999999,0.044994444444444455,0.2496555555555556,0.05168230222222223,0.1575,0.6147222222222223,0.5522222222222223,4.111111111111111,0.5555555555555556,5,1,0,0.0,5,5,18,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
The Everly Brothers,0.5757000000000001,0.4109999999999999,0.034100000000000005,0.6654,0.000385507,0.17774,0.6672,0.5479999999999999,2.0,0.5,7,1,0,1.0,5,5,20,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
Sly & The Family Stone,0.7634000000000001,0.5486000000000001,0.06877999999999998,0.33817100000000005,0.12285515,0.21664,0.7110000000000001,0.5459999999999999,4.0,0.5,10,1,0,1.0,5,5,20,"['classic rock', 'classic soul', 'disco', 'folk rock', 'funk', 'funk rock', 'mellow gold', 'motown', 'rock', 'roots rock', 'soul', 'southern soul']"
Buddy Holly,0.5710999999999999,0.4276000000000001,0.032999999999999995,0.6415000000000001,0.034902629,0.16907,0.6648,0.545,2.3,0.5,9,1,0,1.0,6,5,20,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']"
James Brown,0.7317058823529412,0.6358235294117648,0.13490000000000002,0.3922117647058824,0.005987002941176471,0.3953294117647059,0.775,0.5441176470588235,4.294117647058823,0.5882352941176471,0,1,0,1.0,5,5,17,"['funk', 'motown', 'soul']"
The Byrds,0.4970000000000001,0.5534,0.038710000000000015,0.29589999999999994,0.013849678,0.27643,0.634,0.54,2.8,0.5,7,1,0,1.0,6,5,20,"['art rock', 'blues rock', 'brill building pop', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'traditional folk']"
2Pac,0.7637222222222223,0.7174444444444444,0.1870055555555556,0.10360222222222222,0.0006308605555555557,0.21162222222222224,0.6403888888888889,0.5377777777777777,4.4444444444444455,0.6111111111111112,1,1,1,0.8,5,5,18,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Curtis Mayfield,0.6342999999999999,0.7079,0.06295,0.30876,0.066325199,0.11362999999999998,0.7799,0.5369999999999999,5.3,0.5,11,0,0,1.0,6,5,20,"['chicago soul', 'classic soul', 'disco', 'funk', 'soul']"
Run–D.M.C.,0.8626111111111109,0.7115,0.14419444444444446,0.03668666666666666,0.01813504222222222,0.1879611111111111,0.7093888888888888,0.5238888888888888,4.166666666666667,0.5555555555555556,11,1,0,1.0,5,5,18,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip house', 'old school hip hop', 'queens hip hop', 'rap']"
The Drifters,0.5802,0.502,0.04017,0.5653,1.8699000000000002e-05,0.19789000000000007,0.7977,0.5059999999999999,2.7,0.5,6,1,0,1.0,6,5,20,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
Public Enemy,0.7403333333333333,0.7519444444444445,0.2512444444444444,0.03017777777777777,0.0012449377777777775,0.26295555555555555,0.6644444444444443,0.5038888888888889,4.722222222222221,0.5555555555555556,11,1,0,0.8,5,5,18,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']"
Patti Smith,0.5215000000000001,0.6988000000000001,0.09376,0.13429399999999994,3.282e-05,0.13771,0.6164,0.5009999999999999,4.7,0.5,9,1,0,1.0,7,5,20,"['art punk', 'art rock', 'dance rock', 'folk rock', 'permanent wave', 'protopunk', 'rock']"
Frank Zappa,0.5111666666666667,0.6656666666666667,0.07507222222222222,0.1987777777777778,0.1819098111111111,0.24040000000000006,0.6948888888888891,0.4994444444444446,5.222222222222221,0.5555555555555556,9,1,0,1.0,6,5,18,"['album rock', 'art rock', 'classic rock', 'experimental', 'experimental rock', 'hard rock', 'instrumental rock', 'jazz fusion', 'jazz rock', 'progressive rock', 'protopunk', 'psychedelic rock', 'rock', 'symphonic rock', 'zolo']"
Ricky Nelson,0.5811,0.4518,0.045730000000000014,0.51366,0.00189958,0.13455999999999999,0.7524000000000001,0.499,2.4,0.5,9,1,0,1.0,6,5,20,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']"
Hank Williams,0.5840526315789475,0.3530526315789474,0.034084210526315786,0.8294210526315787,0.00018611578947368422,0.1837315789473684,0.7157368421052631,0.4989473684210526,3.0,0.5789473684210527,7,1,0,1.0,8,5,19,"['country', 'country road', 'country rock', 'outlaw country']"
Funkadelic,0.5253157894736842,0.6966315789473684,0.0781578947368421,0.3041978947368421,0.13581052631578944,0.2533368421052632,0.586,0.4973684210526314,5.105263157894737,0.5263157894736842,1,0,0,1.0,7,5,19,"['classic rock', 'funk', 'funk rock', 'p funk', 'psychedelic rock', 'soul']"
Elvis Costello,0.6035294117647061,0.453764705882353,0.045811764705882364,0.3266000000000001,0.0003718517647058823,0.17834117647058825,0.5520588235294117,0.4941176470588236,3.294117647058824,0.5882352941176471,1,1,0,1.0,7,5,17,"['art rock', 'dance rock', 'folk', 'folk rock', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']"
Muddy Waters,0.5416666666666667,0.4499238095238096,0.08204285714285713,0.6181333333333333,0.020892942857142854,0.27128571428571424,0.6638571428571429,0.4761904761904762,3.6666666666666665,0.5238095238095238,2,1,0,1.0,9,5,21,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']"
Smokey Robinson,0.4913157894736842,0.4766315789473685,0.039,0.5811052631578948,0.04916403210526316,0.14455789473684216,0.6023684210526316,0.4757894736842106,4.947368421052632,0.5263157894736842,9,0,0,1.0,8,5,19,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Fats Domino,0.5792000000000002,0.621,0.04405999999999999,0.5606,0.09079418,0.10810999999999996,0.8835,0.4590000000000001,2.3,0.5,11,1,0,1.0,6,5,20,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
"""Booker T. & the M.G.s""",0.6757,0.36825,0.04442,0.3826850000000001,0.7231,0.13607000000000002,0.6593999999999999,0.45399999999999996,3.5,0.5,10,1,0,1.0,6,5,20,"['classic soul', 'funk', 'instrumental funk', 'instrumental soul', 'memphis soul', 'soul', 'southern soul']"
